name,city,coords,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nur der RCW!,Würzburg,"[49.7933723, 9.9309779]",0,172,244,99,220,504,96,387,246,125,139,121,141,80,277,193
Roundnet Raccoons,Kassel,"[51.3154546, 9.4924096]",172,0,200,219,384,337,145,299,182,283,75,169,268,219,173,39
Leipsick,Leipzig,"[51.3406321, 12.3747329]",244,200,0,338,360,364,294,148,381,365,259,325,384,217,373,170
Heidelberg,Heidelberg,"[49.4093582, 8.694724]",99,219,338,0,254,555,78,477,210,78,155,72,49,168,257,252
MRC I,München,"[48.1371079, 11.5753822]",220,384,360,254,0,695,304,503,456,190,359,317,253,167,493,395
Roundnet Sharks Kiel,Kiel,"[54.3227085, 10.135555]",504,337,364,555,695,0,479,295,433,620,401,497,603,529,381,310
NULL SECHS NEUN 1,Frankfurt,"[50.1106444, 8.6820917]",96,145,294,78,304,479,0,423,152,152,77,31,124,176,190,181
Berlin,Berlin,"[52.5170365, 13.3888599]",387,299,148,477,503,295,423,0,477,511,371,453,525,365,453,261
RCK Dinos,Köln,"[50.938361, 6.959974]",246,182,381,210,456,433,152,477,0,288,128,139,238,324,57,218
Fisch Pferd Fuchs,Stuttgart,"[48.7784485, 9.1800132]",125,283,365,78,190,620,152,511,288,0,227,150,62,160,335,311
Ravens & Griffins,Marburg,"[50.8090106, 8.7704695]",139,75,259,155,359,401,77,371,128,227,0,96,202,209,142,114
1. Roundnet-Verein Mainz,Mainz,"[50.0012314, 8.2762513]",121,169,325,72,317,497,31,453,139,150,96,0,110,201,184,206
KA-Boom,Karlsruhe,"[49.0068705, 8.4034195]",141,268,384,49,253,603,124,525,238,62,202,110,0,200,290,301
Erlanger Rhinos,Erlangen,"[49.5928616, 11.0056]",80,219,217,168,167,529,176,365,324,160,209,201,200,0,350,228
West Wings Essen,Essen,"[51.4582235, 7.0158171]",277,173,373,257,493,381,190,453,57,335,142,184,290,350,0,202
Göttinger Gänse,Göttingen,"[51.5328328, 9.9351811]",193,39,170,252,395,310,181,261,218,311,114,206,301,228,202,0
